,pdbid,-logKd/Ki
6877,1p4r,8.1
6878,1qj7,8.1
6879,1rhr,8.1
6880,1rt1,8.1
6881,1uk0,8.1
6882,1xud,8.1
6883,1zxc,8.1
6884,2a5u,8.1
6885,2b52,8.1
6886,2iog,8.1
6887,2qk5,8.1
6888,2ql5,8.1
6889,2qp8,8.1
6890,2rcw,8.1
6891,2wpa,8.1
6892,3at4,8.1
6893,3caj,8.1
6894,3ion,8.1
6895,3ith,8.1
6896,3l58,8.1
6897,3l8v,8.1
6898,3l9h,8.1
6899,3lox,8.1
6900,3lxs,8.1
6901,3nal,8.1
6902,3qai,8.1
6903,3skg,8.1
6904,3tyv,8.1
6905,3vw7,8.1
6906,4bid,8.1
6907,4d0x,8.1
6908,4e90,8.1
6909,4eg5,8.1
6910,4eqc,8.1
6911,4hai,8.1
6912,4hgl,8.1
6913,4i1c,8.1
6914,4i9i,8.1
6915,4jq8,8.1
6916,4nwm,8.1
6917,4oq3,8.1
6918,4p10,8.1
6919,4pms,8.1
6920,4rwl,8.1
6921,4ryg,8.1
6922,4u44,8.1
6923,4wf2,8.1
6924,4wht,8.1
6925,4why,8.1
6926,4wke,8.1
6927,4wnp,8.1
6928,4xy2,8.1
6929,4zxx,8.1
6930,4zyi,8.1
6931,5ar8,8.1
6932,1err,8.11
6933,2jko,8.11
6934,2jkq,8.11
6935,3vry,8.11
6936,3vye,8.11
6937,4aze,8.11
6938,4ge4,8.11
6939,4p6g,8.11
6940,4puz,8.11
6941,4v04,8.11
6942,4z7i,8.11
6943,5ea4,8.11
6944,2k2g,8.12
6945,3hiv,8.12
6946,3rwc,8.12
6947,3upx,8.12
6948,4li8,8.12
6949,3dng,8.13
6950,3oev,8.13
6951,3q3k,8.13
6952,4qfr,8.13
6953,5alc,8.13
6954,3lxg,8.14
6955,3oe8,8.14
6956,4q07,8.14
6957,4rlp,8.14
6958,1aq1,8.15
6959,1g27,8.15
6960,1ikx,8.15
6961,1jlq,8.15
6962,1pmn,8.15
6963,1tfz,8.15
6964,1tt1,8.15
6965,1u9x,8.15
6966,2ayp,8.15
6967,2bed,8.15
6968,2bkz,8.15
6969,2fm2,8.15
6970,2wxi,8.15
6971,2ydk,8.15
6972,2ywp,8.15
6973,2zof,8.15
6974,3bea,8.15
6975,3dz5,8.15
6976,3faa,8.15
6977,3frz,8.15
6978,3g0b,8.15
6979,3h0e,8.15
6980,3kb7,8.15
6981,3l54,8.15
6982,3nw6,8.15
6983,3nww,8.15
6984,3oaw,8.15
6985,3r4o,8.15
6986,3rtp,8.15
6987,4alv,8.15
6988,4bcf,8.15
6989,4bcg,8.15
6990,4dbn,8.15
6991,4e4x,8.15
6992,4erw,8.15
6993,4ge7,8.15
6994,4jr5,8.15
6995,4jze,8.15
6996,4kip,8.15
6997,4l33,8.15
6998,4lop,8.15
6999,4loq,8.15
7000,4lxb,8.15
7001,4mbi,8.15
7002,4n5t,8.15
7003,4op3,8.15
7004,4qt1,8.15
7005,4uwf,8.15
7006,4uwg,8.15
7007,4ycl,8.15
7008,4yl3,8.15
7009,4ytf,8.15
7010,1c8l,8.16
7011,3w2s,8.16
7012,4zud,8.16
7013,2g63,8.17
7014,3hac,8.17
7015,3krd,8.17
7016,3kwf,8.17
7017,4aac,8.17
7018,4ayy,8.17
7019,4k5y,8.17
7020,4mxc,8.17
7021,4q1e,8.17
7022,4xct,8.17
7023,1dwd,8.18
7024,2iiv,8.18
7025,2pj3,8.18
7026,3ixk,8.18
7027,3oe9,8.18
7028,3wzj,8.18
7029,4anb,8.18
7030,4kbk,8.18
7031,4qlq,8.18
7032,1epq,8.19
7033,1oky,8.19
7034,1p03,8.19
7035,1w6j,8.19
7036,2h5d,8.19
7037,2wtw,8.19
7038,2yj8,8.19
7039,2zir,8.19
7040,3blr,8.19
7041,3c5u,8.19
7042,3g6h,8.19
7043,3hpt,8.19
7044,1ek2,8.2
7045,1owd,8.2
7046,1sqp,8.2
7047,2jdv,8.2
7048,2jjr,8.2
7049,2jkk,8.2
7050,2pqj,8.2
7051,3cjf,8.2
7052,3dcr,8.2
7053,3k23,8.2
7054,3qd4,8.2
7055,4abi,8.2
7056,4ezk,8.2
7057,4jr0,8.2
7058,1o0d,8.21
7059,2e9n,8.21
7060,2ff1,8.21
7061,2ff2,8.21
7062,3up7,8.21
7063,3vhe,8.21
7064,4hiq,8.21
7065,4hyu,8.21
7066,4ixh,8.21
7067,4m6q,8.21
7068,5c4o,8.21
7069,1ao8,8.22
7070,1dth,8.22
7071,1em6,8.22
7072,1ets,8.22
7073,1jr1,8.22
7074,1kdz,8.22
7075,1rt2,8.22
7076,1sje,8.22
7077,1u9v,8.22
7078,2az8,8.22
7079,2c6o,8.22
7080,2cbs,8.22
7081,2cji,8.22
7082,2qzx,8.22
7083,2v16,8.22
7084,3bym,8.22
7085,3d9v,8.22
7086,3h0y,8.22
7087,3hhk,8.22
7088,3i28,8.22
7089,3nan,8.22
7090,3pup,8.22
7091,3q77,8.22
7092,3tti,8.22
7093,3u2q,8.22
7094,3upi,8.22
7095,3whw,8.22
7096,4a7c,8.22
7097,4bs4,8.22
7098,4bs5,8.22
7099,4c4g,8.22
7100,4c4h,8.22
7101,4deg,8.22
7102,4e20,8.22
7103,4gtt,8.22
7104,4i7c,8.22
7105,4kba,8.22
7106,4kju,8.22
7107,4lwv,8.22
7108,4otf,8.22
7109,4pdk,8.22
7110,4qyo,8.22
7111,4r3s,8.22
7112,4u0i,8.22
7113,4x7n,8.22
7114,4xcu,8.22
7115,4xh2,8.22
7116,4yl0,8.22
7117,4ylj,8.22
7118,4z7s,8.22
7119,5alz,8.22
7120,1ero,8.23
7121,2w1f,8.23
7122,3qbn,8.23
7123,4ptg,8.23
7124,1eve,8.24
7125,1ke6,8.24
7126,1nmk,8.24
7127,1npv,8.24
7128,2gde,8.24
7129,3g4l,8.24
7130,4hmq,8.24
7131,5a4c,8.24
7132,1auj,8.25
7133,2h5e,8.25
7134,3vjl,8.25
7135,1iky,8.26
7136,2chm,8.26
7137,3cen,8.26
7138,3dpo,8.26
7139,4di2,8.26
7140,4uvy,8.26
7141,1clu,8.27
7142,3tdc,8.27
7143,4eb9,8.27
7144,4lp6,8.27
7145,4xv2,8.27
7146,3l17,8.28
7147,3nw7,8.28
7148,3o95,8.28
7149,4j3d,8.28
7150,4mha,8.28
7151,4pov,8.28
7152,2a4w,8.29
7153,4wn1,8.29
7154,1bzf,8.3
7155,1dtt,8.3
7156,1lqf,8.3
7157,1okz,8.3
7158,1q6t,8.3
7159,1rww,8.3
7160,1s17,8.3
7161,1sve,8.3
7162,1uv5,8.3
7163,1yt9,8.3
7164,1zzl,8.3
7165,2aeb,8.3
7166,2gv2,8.3
7167,2hrp,8.3
7168,2imd,8.3
7169,2iqg,8.3
7170,2nv7,8.3
7171,2pe1,8.3
7172,2pll,8.3
7173,2qmd,8.3
7174,2rfn,8.3
7175,2x81,8.3
7176,2ydj,8.3
7177,2yoj,8.3
7178,3atu,8.3
7179,3bc5,8.3
7180,3bjm,8.3
7181,3cid,8.3
7182,3d20,8.3
7183,3fyj,8.3
7184,3g0d,8.3
7185,3g0g,8.3
7186,3g86,8.3
7187,3gn7,8.3
7188,3h5s,8.3
7189,3h98,8.3
7190,3lxl,8.3
7191,3ly2,8.3
7192,3ocb,8.3
7193,3oct,8.3
7194,3ot3,8.3
7195,3skf,8.3
7196,3tyq,8.3
7197,4az3,8.3
7198,4bea,8.3
7199,4dus,8.3
7200,4ejn,8.3
7201,4elb,8.3
7202,4emv,8.3
7203,4fob,8.3
7204,4gfn,8.3
7205,4gtq,8.3
7206,4gtr,8.3
7207,4hgs,8.3
7208,4i6f,8.3
7209,4i6h,8.3
7210,4jps,8.3
7211,4jzd,8.3
7212,4kcg,8.3
7213,4l4l,8.3
7214,4lwu,8.3
7215,4n1u,8.3
7216,4nus,8.3
7217,4ohk,8.3
7218,4olh,8.3
7219,4qo4,8.3
7220,4rx7,8.3
7221,4wki,8.3
7222,4xhk,8.3
7223,4zy6,8.3
7224,5am3,8.3
7225,5buj,8.3
7226,5bvo,8.3
7227,5cxh,8.3
7228,1rgj,8.31
7229,2hs2,8.31
7230,4acd,8.31
7231,4csj,8.31
7232,4ddl,8.31
7233,2dq7,8.32
7234,2fdd,8.32
7235,2qtb,8.32
7236,2xhr,8.32
7237,3qak,8.32
7238,3tv6,8.32
7239,4bbg,8.32
7240,4kin,8.32
7241,5a3u,8.32
7242,1u9q,8.33
7243,2wj2,8.33
7244,3ns7,8.33
7245,3sdi,8.33
7246,3sw2,8.33
7247,4eev,8.33
7248,4htx,8.33
7249,4i33,8.33
7250,1uwb,8.34
7251,3ay9,8.34
7252,3f82,8.34
7253,3lj7,8.34
7254,4yhf,8.34
7255,1mj7,8.35
7256,2zxa,8.35
7257,3m6p,8.35
7258,4mvh,8.35
7259,9hvp,8.35
7260,1bb0,8.36
7261,3g45,8.36
7262,3oj8,8.36
7263,3wiz,8.36
7264,4g3f,8.36
7265,4gzf,8.36
7266,4k19,8.36
7267,4lts,8.36
7268,4y2b,8.36
7269,5dls,8.36
7270,1ouy,8.37
7271,2fjp,8.37
7272,2nmy,8.37
7273,2nnk,8.37
7274,2nnp,8.37
7275,2xdw,8.37
7276,3h0z,8.37
7277,3q6k,8.37
7278,3tcp,8.37
7279,3wyx,8.37
7280,3hab,8.38
7281,4ere,8.38
7282,4g3e,8.38
7283,4xv1,8.38
7284,1it6,8.39
7285,1x7b,8.39
7286,3dpk,8.39
7287,4p1r,8.39
7288,4qyg,8.39
7289,1a4g,8.4
7290,1b6m,8.4
7291,1jil,8.4
7292,1nd5,8.4
7293,1o47,8.4
7294,1q3w,8.4
7295,1s64,8.4
7296,1w4l,8.4
7297,1w7x,8.4
7298,2oic,8.4
7299,2oqv,8.4
7300,2pe2,8.4
7301,2rl5,8.4
7302,2xyn,8.4
7303,3bl7,8.4
7304,3coh,8.4
7305,3efw,8.4
7306,3eos,8.4
7307,3frg,8.4
7308,3gz9,8.4
7309,3kwz,8.4
7310,3nrm,8.4
7311,3ook,8.4
7312,3r2b,8.4
7313,3s4q,8.4
7314,3s74,8.4
7315,3ttz,8.4
7316,3u4w,8.4
7317,3vap,8.4
7318,4at3,8.4
7319,4b8o,8.4
7320,4bgh,8.4
7321,4c61,8.4
7322,4cnh,8.4
7323,4dk5,8.4
7324,4fzc,8.4
7325,4jai,8.4
7326,4jsr,8.4
7327,4l52,8.4
7328,4mqu,8.4
7329,4nw6,8.4
7330,4px6,8.4
7331,4ra5,8.4
7332,4rcf,8.4
7333,4uro,8.4
7334,4uyn,8.4
7335,4x7k,8.4
7336,4z3v,8.4
7337,5ccm,8.4
7338,5cs2,8.4
7339,5d9k,8.4
7340,5em6,8.4
7341,2am9,8.41
7342,2w6c,8.41
7343,3mvm,8.41
7344,3oxc,8.41
7345,4agd,8.41
7346,4ngt,8.41
7347,5ak2,8.41
7348,1htg,8.42
7349,2g5p,8.42
7350,2isc,8.42
7351,4ezj,8.42
7352,4hbp,8.42
7353,1jje,8.43
7354,2c8w,8.43
7355,3qlb,8.43
7356,3tam,8.43
7357,4cqe,8.43
7358,4g3g,8.43
7359,4zk5,8.43
7360,1bmn,8.44
7361,1ynd,8.44
7362,3uhm,8.44
7363,3w1f,8.44
7364,4bbe,8.44
7365,1jq9,8.45
7366,1a3e,8.46
7367,1bgo,8.46
7368,1iht,8.46
7369,1ld8,8.46
7370,1u3q,8.46
7371,1u9w,8.46
7372,2mip,8.46
7373,3bx5,8.46
7374,3kl6,8.46
7375,3nam,8.46
7376,3q2g,8.46
7377,4he9,8.46
7378,4lge,8.46
7379,2ds1,8.47
7380,2qo8,8.47
7381,2wei,8.47
7382,3b28,8.47
7383,3bhb,8.47
7384,3eqs,8.48
7385,3wqh,8.48
7386,4jpa,8.48
7387,4nvq,8.48
7388,4o0v,8.48
7389,5ap2,8.48
7390,2ieo,8.49
7391,2oqi,8.49
7392,3gfe,8.49
7393,3pp1,8.49
7394,3wyy,8.49
7395,4a22,8.49
7396,4ehe,8.49
7397,4mwu,8.49
7398,3d3p,8.5
7399,3qd0,8.5
7400,1cr6,8.51
7401,1d8m,8.51
7402,1g05,8.51
7403,1qpl,8.51
7404,2rg5,8.51
7405,3tia,8.51
7406,3zpt,8.51
7407,1b6p,8.52
7408,1d7x,8.52
7409,1hbj,8.52
7410,1jij,8.52
7411,1o44,8.52
7412,1oit,8.52
7413,1q6p,8.52
7414,1rhu,8.52
7415,1sps,8.52
7416,1ta2,8.52
7417,1urw,8.52
7418,1w14,8.52
7419,2b1p,8.52
7420,2bqw,8.52
7421,2bxt,8.52
7422,2gbi,8.52
7423,2hfp,8.52
7424,2ow3,8.52
7425,2qmf,8.52
7426,2v11,8.52
7427,2vaq,8.52
7428,2vf6,8.52
7429,2vnm,8.52
7430,2vtp,8.52
7431,2w1g,8.52
7432,2wxp,8.52
7433,2xa4,8.52
7434,2xbj,8.52
7435,2xfk,8.52
7436,3cic,8.52
7437,3dcv,8.52
7438,3dya,8.52
7439,3h5u,8.52
7440,3i0r,8.52
7441,3ia6,8.52
7442,3jzo,8.52
7443,3k84,8.52
7444,3ns9,8.52
7445,3ocg,8.52
7446,3pa4,8.52
7447,3psb,8.52
7448,3psd,8.52
7449,3sfc,8.52
7450,3spk,8.52
7451,3sx4,8.52
7452,3t3v,8.52
7453,3tct,8.52
7454,3u4u,8.52
7455,3umw,8.52
7456,3zxh,8.52
7457,4bae,8.52
7458,4bcb,8.52
7459,4c4j,8.52
7460,4dtk,8.52
7461,4e1z,8.52
7462,4foc,8.52
7463,4gjd,8.52
7464,4gv1,8.52
7465,4h1e,8.52
7466,4h3i,8.52
7467,4h4m,8.52
7468,4hyi,8.52
7469,4izy,8.52
7470,4j52,8.52
7471,4jnc,8.52
7472,4jnm,8.52
7473,4l6s,8.52
7474,4lgg,8.52
7475,4p1u,8.52
7476,4rpv,8.52
7477,4rx5,8.52
7478,4tlr,8.52
7479,4uwh,8.52
7480,4wcu,8.52
7481,4yne,8.52
7482,4yzc,8.52
7483,4zom,8.52
7484,5am1,8.52
7485,5bue,8.52
7486,3jzc,8.53
7487,1r1i,8.54
7488,3hc8,8.54
7489,3q96,8.54
7490,4fcb,8.54
7491,4mbl,8.54
7492,4yay,8.54
7493,1ibg,8.55
7494,2zis,8.55
7495,3g6g,8.55
7496,3kfc,8.55
7497,3rwg,8.55
7498,3t8s,8.55
7499,4ynd,8.55
7500,3so9,8.56
7501,1yye,8.57
7502,2h8h,8.57
7503,2i0j,8.57
7504,2r5q,8.57
7505,2w6t,8.57
7506,2w78,8.57
7507,2yne,8.57
7508,3dkf,8.57
7509,3vrt,8.57
7510,4hy4,8.57
7511,4re3,8.57
7512,4tpk,8.57
7513,4uwl,8.57
7514,1akw,8.59
7515,1hkj,8.59
7516,1m7q,8.59
7517,2fky,8.59
7518,2iit,8.59
7519,2itz,8.59
7520,4ezl,8.59
7521,4mx9,8.59
7522,1yy4,8.6
7523,2r5b,8.6
7524,3bqn,8.6
7525,3fhe,8.6
7526,3k5g,8.6
7527,3m6f,8.6
7528,3oe0,8.6
7529,4f65,8.6
7530,4jg8,8.6
7531,4ke1,8.6
7532,4qlt,8.6
7533,5cf5,8.6
7534,1a61,8.62
7535,1azl,8.62
7536,2h42,8.62
7537,3dt1,8.62
7538,4dru,8.62
7539,4nrl,8.62
7540,4tpm,8.62
7541,4zim,8.62
7542,4ee0,8.63
7543,2qt9,8.64
7544,3f88,8.64
7545,3wig,8.64
7546,3zev,8.64
7547,4g9c,8.64
7548,4x6x,8.64
7549,4ydn,8.64
7550,4kp0,8.65
7551,2i47,8.66
7552,2rg6,8.66
7553,3cjo,8.66
7554,3kqc,8.66
7555,3s68,8.66
7556,3t19,8.66
7557,3vnt,8.66
7558,3u1y,8.67
7559,2nw4,8.68
7560,3c6t,8.68
7561,3jsi,8.68
7562,3p76,8.68
7563,4jmh,8.68
7564,4lgu,8.68
7565,1bji,8.7
7566,1dmt,8.7
7567,1f9e,8.7
7568,1ida,8.7
7569,1jiz,8.7
7570,1npa,8.7
7571,1npw,8.7
7572,1rne,8.7
7573,1svg,8.7
7574,1y0x,8.7
7575,2be2,8.7
7576,2bpm,8.7
7577,2bvx,8.7
7578,2dbl,8.7
7579,2fl2,8.7
7580,2fr3,8.7
7581,2hm1,8.7
7582,2i3z,8.7
7583,2k31,8.7
7584,2nnq,8.7
7585,2nwl,8.7
7586,2oaz,8.7
7587,2q2z,8.7
7588,2w0d,8.7
7589,2w17,8.7
7590,2wxv,8.7
7591,2x2i,8.7
7592,2xvd,8.7
7593,2yac,8.7
7594,3be2,8.7
7595,3da6,8.7
7596,3fdm,8.7
7597,3hwn,8.7
7598,3ik3,8.7
7599,3l1s,8.7
7600,3lgp,8.7
7601,3lvp,8.7
7602,3oot,8.7
7603,3oyp,8.7
7604,3oz1,8.7
7605,3pa5,8.7
7606,3ppj,8.7
7607,3qk0,8.7
7608,3thb,8.7
7609,3wc5,8.7
7610,4d89,8.7
7611,4d8c,8.7
7612,4f1s,8.7
7613,4hxw,8.7
7614,4i5h,8.7
7615,4j53,8.7
7616,4jjg,8.7
7617,4jlg,8.7
7618,4k6z,8.7
7619,4lgh,8.7
7620,4lxa,8.7
7621,4n4v,8.7
7622,4nwk,8.7
7623,4o12,8.7
7624,4o15,8.7
7625,4occ,8.7
7626,4ps3,8.7
7627,4q1c,8.7
7628,4rce,8.7
7629,4unr,8.7
7630,4xmo,8.7
7631,4zg7,8.7
7632,5bnj,8.7
7633,5c2e,8.7
7634,5e8r,8.7
7635,5edq,8.7
7636,3t9t,8.71
7637,1c12,8.72
7638,1eub,8.72
7639,1hc9,8.72
7640,1hkm,8.72
7641,1o5m,8.72
7642,1x76,8.72
7643,2pjc,8.72
7644,2wj1,8.72
7645,3lik,8.72
7646,3pwh,8.72
7647,3vf9,8.72
7648,4bkj,8.72
7649,4hhy,8.72
7650,4q1b,8.72
7651,4tv3,8.72
7652,5c42,8.72
7653,5c4u,8.72
7654,1cin,8.73
7655,1bl4,8.74
7656,1pxh,8.74
7657,2anm,8.74
7658,2fl5,8.74
7659,3ce3,8.74
7660,3eml,8.74
7661,3q32,8.74
7662,3r7r,8.74
7663,3ti3,8.74
7664,3wt7,8.75
7665,1lq2,8.77
7666,1ros,8.77
7667,1xpc,8.77
7668,1zuc,8.77
7669,2cne,8.77
7670,2itt,8.77
7671,2j7x,8.77
7672,2uz6,8.77
7673,2yis,8.77
7674,3e4a,8.77
7675,4d09,8.77
7676,4ekg,8.77
7677,4frs,8.77
7678,4kql,8.77
7679,4rss,8.77
7680,4yt7,8.77
7681,5ea3,8.77
7682,4b7n,8.78
7683,1cj1,8.8
7684,1csi,8.8
7685,1f1j,8.8
7686,1ryf,8.8
7687,2amv,8.8
7688,2ll7,8.8
7689,2q2y,8.8
7690,2q7m,8.8
7691,2xn6,8.8
7692,3eyg,8.8
7693,3idp,8.8
7694,3skc,8.8
7695,3vyf,8.8
7696,4g2w,8.8
7697,4ge9,8.8
7698,4ksp,8.8
7699,4ngq,8.8
7700,4z9l,8.8
7701,1yz3,8.81
7702,1cim,8.82
7703,1czk,8.82
7704,2ckm,8.82
7705,2ghg,8.82
7706,2giu,8.82
7707,2hvc,8.82
7708,2r4f,8.82
7709,2r9m,8.82
7710,3bz3,8.82
7711,3que,8.82
7712,3tlh,8.82
7713,3zlo,8.82
7714,4hrd,8.82
7715,4jmg,8.82
7716,4na8,8.82
7717,4oys,8.82
7718,5bvn,8.82
7719,5bvw,8.82
7720,4btt,8.84
7721,1u3s,8.85
7722,2qlf,8.85
7723,3itz,8.85
7724,3ppk,8.85
7725,3prf,8.85
7726,3r2f,8.85
7727,3vo3,8.85
7728,3vsx,8.85
7729,3wyl,8.85
7730,4hvd,8.85
7731,4j6i,8.85
7732,4mu7,8.85
7733,2feq,8.86
7734,2ycs,8.87
7735,3c6u,8.87
7736,3tic,8.87
7737,4hzw,8.88
7738,1i90,8.89
7739,1lek,8.89
7740,1xp9,8.89
7741,1ztq,8.89
7742,2h5i,8.89
7743,2lpr,8.89
7744,2onz,8.89
7745,3a4o,8.89
7746,3km4,8.89
7747,3rin,8.89
7748,3sx9,8.89
7749,3u8m,8.89
7750,3v66,8.89
7751,3wke,8.89
7752,3zos,8.89
7753,4cli,8.89
7754,4e3i,8.89
7755,4hy5,8.89
7756,4mcv,8.89
7757,4psh,8.89
7758,4qyh,8.89
7759,1i8z,8.9
7760,1uze,8.9
7761,1lhv,8.91
7762,1bim,8.92
7763,1n95,8.92
7764,1xoz,8.92
7765,2w1i,8.92
7766,3mg8,8.92
7767,4e3j,8.92
7768,4fod,8.92
7769,4hdc,8.92
7770,4hrc,8.92
7771,4mti,8.92
7772,4mxa,8.92
7773,4onf,8.92
7774,1i91,8.94
7775,3uza,8.94
7776,2z7g,8.95
7777,3ti5,8.95
7778,1doj,8.96
7779,1ld7,8.96
7780,1n94,8.96
7781,1qon,8.96
7782,2qhc,8.96
7783,3krj,8.96
7784,3ue4,8.96
7785,4bdt,8.96
7786,4ptc,8.96
7787,5cf8,8.96
7788,1ag9,9.0
7789,1ba8,9.0
7790,1czr,9.0
7791,1dbb,9.0
7792,1gvu,9.0
7793,1hef,9.0
7794,1hiv,9.0
7795,1iyl,9.0
7796,1jii,9.0
7797,1lcj,9.0
7798,1mxo,9.0
7799,1pop,9.0
7800,1syo,9.0
7801,1sz0,9.0
7802,1xp0,9.0
7803,2asu,9.0
7804,2b7a,9.0
7805,2ban,9.0
7806,2ien,9.0
7807,2iok,9.0
7808,2ofu,9.0
7809,2on3,9.0
7810,2oo8,9.0
7811,2ow1,9.0
7812,2r2l,9.0
7813,2r6n,9.0
7814,2rcx,9.0
7815,2rgu,9.0
7816,2wxj,9.0
7817,2xp2,9.0
7818,3dcw,9.0
7819,3er5,9.0
7820,3i0s,9.0
7821,3iad,9.0
7822,3jxw,9.0
7823,3jy9,9.0
7824,3k54,9.0
7825,3k98,9.0
7826,3kc1,9.0
7827,3kw9,9.0
7828,3lhs,9.0
7829,3li2,9.0
7830,3m1s,9.0
7831,3o1g,9.0
7832,3pa3,9.0
7833,3r02,9.0
7834,3tjd,9.0
7835,3tkm,9.0
7836,3u8w,9.0
7837,4dei,9.0
7838,4dmy,9.0
7839,4flh,9.0
7840,4gee,9.0
7841,4gm3,9.0
7842,4hyh,9.0
7843,4iwd,9.0
7844,4ktc,9.0
7845,4l8m,9.0
7846,4lj3,9.0
7847,4mk8,9.0
7848,4mka,9.0
7849,4ps8,9.0
7850,4qgg,9.0
7851,4qgh,9.0
7852,4r1v,9.0
7853,4rio,9.0
7854,4rvm,9.0
7855,4s2i,9.0
7856,4uib,9.0
7857,4whz,9.0
7858,4wx6,9.0
7859,4x60,9.0
7860,4x61,9.0
7861,4xyf,9.0
7862,4ys7,9.0
7863,5bpa,9.0
7864,8hvp,9.0
7865,2fes,9.01
7866,3jzb,9.01
7867,4omd,9.01
7868,4wri,9.01
7869,2ql9,9.03
7870,3lj3,9.03
7871,4gg5,9.03
7872,4ppc,9.03
7873,5axp,9.03
7874,3g4g,9.04
7875,3g4i,9.04
7876,3r0t,9.04
7877,4od0,9.04
7878,1ni1,9.05
7879,1pbk,9.05
7880,1udu,9.05
7881,2i6a,9.05
7882,2v12,9.05
7883,3ti8,9.05
7884,3tt0,9.05
7885,4an2,9.05
7886,4aqc,9.05
7887,4m3m,9.05
7888,4xkx,9.05
7889,2byp,9.06
7890,3fc2,9.06
7891,4nau,9.06
7892,4jnj,9.07
7893,4oo9,9.07
7894,4pv0,9.07
7895,1lhw,9.08
7896,1tu6,9.08
7897,1xmu,9.08
7898,3aox,9.08
7899,3dst,9.08
7900,4qn7,9.08
7901,1akr,9.09
7902,2g5t,9.09
7903,3agm,9.09
7904,3eq7,9.09
7905,3mw1,9.09
7906,4kp6,9.09
7907,1sj0,9.1
7908,2c6e,9.1
7909,2q1j,9.1
7910,2yiw,9.1
7911,3byu,9.1
7912,3ds6,9.1
7913,3g72,9.1
7914,3kck,9.1
7915,3krl,9.1
7916,3qri,9.1
7917,3uok,9.1
7918,4e3k,9.1
7919,4n1t,9.1
7920,4ppa,9.1
7921,1rhk,9.11
7922,3v6s,9.12
7923,1ove,9.13
7924,3gen,9.14
7925,3qg6,9.14
7926,3zmm,9.14
7927,1ayu,9.15
7928,1czl,9.15
7929,1d5j,9.15
7930,1pig,9.15
7931,2fde,9.15
7932,2wxg,9.15
7933,3a3y,9.15
7934,3bhx,9.15
7935,3rsv,9.15
7936,3sn7,9.15
7937,3snl,9.15
7938,4bsq,9.15
7939,4mf1,9.15
7940,4pqn,9.15
7941,4rcd,9.15
7942,4udb,9.15
7943,4y8y,9.15
7944,3q2h,9.16
7945,1xoq,9.17
7946,2p94,9.17
7947,4ayv,9.17
7948,4phv,9.17
7949,4ocz,9.18
7950,5dhh,9.18
7951,1x81,9.19
7952,2hy0,9.19
7953,2w77,9.19
7954,1kwq,9.21
7955,1r6g,9.21
7956,1jp5,9.22
7957,2jb5,9.22
7958,2v0z,9.22
7959,2yb9,9.22
7960,3b2w,9.22
7961,3b8r,9.22
7962,3gc7,9.22
7963,3of8,9.22
7964,3zc6,9.22
7965,4an3,9.22
7966,4f4p,9.22
7967,4jff,9.22
7968,4uzd,9.22
7969,4wx4,9.22
7970,4hwb,9.24
7971,4pjt,9.24
7972,1db1,9.26
7973,4inu,9.26
7974,4ty1,9.26
7975,3ti6,9.27
7976,2ao6,9.28
7977,2qtu,9.28
7978,3g58,9.28
7979,4otw,9.28
7980,830c,9.28
7981,1bil,9.3
7982,1udt,9.3
7983,1w6h,9.3
7984,1xp1,9.3
7985,2aux,9.3
7986,2og8,9.3
7987,2wxk,9.3
7988,2znt,9.3
7989,3b8q,9.3
7990,3bys,9.3
7991,3d7f,9.3
7992,3drs,9.3
7993,3kf4,9.3
7994,3kqb,9.3
7995,3kwj,9.3
7996,3mg4,9.3
7997,3mvh,9.3
7998,3vtb,9.3
7999,4btu,9.3
8000,4fkk,9.3
8001,4hld,9.3
8002,4hzx,9.3
8003,5ceo,9.3
8004,5cgc,9.3
8005,5cgd,9.3
8006,3lnz,9.31
8007,3vva,9.32
8008,4i31,9.32
8009,4okg,9.32
8010,3gw5,9.33
8011,3q4b,9.33
8012,3vbq,9.33
8013,1inc,9.34
8014,3bv3,9.34
8015,4ks2,9.34
8016,3tpx,9.35
8017,2r6w,9.36
8018,2z4b,9.36
8019,3bv2,9.36
8020,1flm,9.37
8021,3vs3,9.37
8022,4a16,9.37
8023,4wzv,9.37
8024,3hqz,9.38
8025,3vrw,9.39
8026,4cqg,9.39
8027,4mwr,9.39
8028,1azx,9.4
8029,1cbr,9.4
8030,1e03,9.4
8031,1sqn,9.4
8032,1xp6,9.4
8033,2fm0,9.4
8034,2izx,9.4
8035,2v10,9.4
8036,3drr,9.4
8037,3e2m,9.4
8038,3fw4,9.4
8039,3g70,9.4
8040,3kqd,9.4
8041,3lq8,9.4
8042,3o64,9.4
8043,4fcr,9.4
8044,4g31,9.4
8045,4mwv,9.4
8046,4oba,9.4
8047,4wrs,9.4
8048,1nl4,9.41
8049,2aa6,9.41
8050,4c1w,9.41
8051,1hsg,9.42
8052,3e8u,9.42
8053,3ksq,9.42
8054,1cil,9.43
8055,2jdl,9.43
8056,3hr1,9.43
8057,3vjk,9.43
8058,3vjm,9.43
8059,3c1k,9.44
8060,1p01,9.46
8061,1pau,9.46
8062,2auz,9.46
8063,2pvn,9.46
8064,4glr,9.46
8065,1q4x,9.48
8066,1qfs,9.48
8067,4gfd,9.48
8068,1ca8,9.49
8069,2gdo,9.49
8070,2phb,9.49
8071,2r6y,9.49
8072,4djh,9.49
8073,1c6y,9.51
8074,3lhj,9.51
